,01 Agriculture,02 Aquaculture,03 Forestry and Logging,"04 Fishing, Hunting and Trapping","05 Agriculture, Forestry and Fishing Support Services",06 Coal Mining,07 Oil and Gas Extraction,08 Metal Ore Mining,09 Non-Metallic Mineral Mining and Quarrying,10 Exploration and Other Mining Support Services,11Food Product Manufacturing,12Beverage and Tobacco Product Manufacturing,"13Textile, Leather, Clothing and Footwear Manufacturing",14Wood Product Manufacturing,"15Pulp, Paper and Converted Paper Product Manufacturing",16Printing (including the Reproduction of Recorded Media),17Petroleum and Coal Product Manufacturing,18 Basic Chemical and Chemical Product Manufacturing,19Polymer Product and Rubber Product Manufacturing,20Non-Metallic Mineral Product Manufacturing,21Primary Metal and Metal Product Manufacturing,22Fabricated Metal Product Manufacturing,23Transport Equipment Manufacturing,24Machinery and Equipment Manufacturing,25Furniture and Other Manufacturing,26Electricity Supply,27Gas Supply,"28Water Supply, Sewerage and Drainage Services","29Waste Collection, Treatment and Disposal Services",30 Building Construction,31 Heavy and Civil Engineering Construction,32 Construction Services,"
33 Basic Material Wholesaling",34 Machinery and Equipment Wholesaling,35 Motor Vehicle and Motor Vehicle Parts Wholesaling,"36 Grocery, Liquor and Tobacco Product Wholesaling",37 Other Goods Wholesaling,38 Commission-Based Wholesaling,39Motor Vehicle and Motor Vehicle Parts Retailing,40 Fuel Retailing,41 Food Retailing,42 Other Store-Based Retailing,43 Non-Store Retailing and Retail Commission Based Buying and/or Selling,44 Accommodation,45 Food and Beverage Services,46 Road Transport,47 Rail Transport,48 Water Transport,49 Air and Space Transport,50 Other Transport,51 Postal and Courier Pick-up and Delivery Services,52 Transport Support Services,53 Warehousing and Storage Services,54 Publishing and Broadcasting,55 Motion Picture and Sound Recording Activities,56 Broadcasting (except Internet),58 Telecommunications Services,"59 Internet Service Providers, Web Search Portals and Data Processing Services",60 Library and Other Information Services,62 Finance,63 Insurance and Superannuation Funds,64 Auxiliary Finance and Insurance Services,66 Rental and Hiring Services (except Real Estate),67 Property Operators and Real Estate Services,"69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)",70 Computer System Design and Related Services,72 Administrative Services,"73 Building Cleaning, Pest Control and Other Support Services",75 Public Administration,76 Defence,"77 Public Order, Safety and Regulatory Services",80 Preschool and School Education,81 Tertiary Education,"82 Adult, Community and Other Education",84 Hospitals,85 Medical and Other Health Care Services,86 Residential Care Services,87 Social Assistance Services,89 Heritage Activities,90 Creative and Performing Arts Activities,91 Sports and Recreation Activities,92 Gambling Activities,94 Repair and Maintenance,95 Personal and other services (include activities for own use)
shares,0.021774173,0.000501931,0.000536681,0.000461391,0.002015448,0.003835915,0.002326259,0.008384186,0.001098458,0.002992284,0.016490379,0.002528962,0.002440159,0.003478771,0.001345562,0.002621627,0.000667955,0.003957537,0.002830121,0.002772206,0.005872598,0.005388041,0.005146728,0.008739399,0.004965261,0.005021245,0.000934365,0.002496144,0.003393829,0.023658347,0.00832434,0.059135249,0.006978778,0.008631291,0.002081085,0.004918928,0.007189203,0.000733592,0.008445962,0.002915064,0.030405464,0.053785818,0.001988421,0.007534764,0.063486609,0.022127456,0.00381661,0.000671816,0.00419885,0.000621623,0.007577235,0.00675677,0.00527028,0.001990351,0.002942091,0.00225097,0.007079164,0.000712357,0.001133207,0.014723967,0.008052139,0.012299252,0.002870662,0.013581107,0.069316736,0.019899652,0.01790544,0.017368759,0.046417078,0.002036683,0.015218176,0.049266504,0.019453706,0.015666053,0.036913199,0.041169964,0.020289614,0.03680509,0.003011589,0.003604254,0.010276082,0.002434368,0.017770305,0.021270311
,0.005513124,0.00010506,0.000101169,0.000136189,0.000651756,0.001134239,0.000507787,0.002066105,0.000303506,0.000659538,0.004069791,0.000575881,0.000589499,0.000910508,0.000289888,0.000612846,0.000180937,0.000947472,0.00081907,0.000791832,0.001431895,0.00142995,0.00128404,0.002429893,0.001289876,0.001317113,0.000177046,0.000717903,0.000889107,0.006116109,0.002225627,0.014628315,0.001844328,0.002291771,0.000542807,0.001381313,0.001661457,0.000136189,0.002058323,0.000871598,0.007866628,0.01376303,0.000538916,0.002052487,0.015927159,0.005367238,0.000887162,0.000101169,0.001089493,0.000171209,0.001953271,0.001752893,0.001338513,0.000431912,0.000735413,0.000544752,0.001817092,0.000212066,0.000202338,0.003643778,0.001772347,0.003122437,0.000894944,0.003272226,0.017264819,0.004888727,0.004760345,0.004299329,0.011804847,0.000486387,0.003886937,0.012304617,0.004890672,0.003645723,0.008737952,0.010447447,0.004898453,0.008564856,0.00062841,0.000998055,0.002754768,0.000620628,0.004476345,0.005705691
,0.008521281,4.98446E-05,-0.000460958,0.000670693,0.001839482,0.002287408,-0.000173172,0.00403987,0.000425444,0.00034025,0.004698422,0.001839594,0.001859803,0.002057592,0.000587969,1.19709E-05,0.000408311,0.002846621,0.001501754,0.002172667,0.003067562,0.003528931,0.002210568,0.003217217,0.004130855,0.002750763,0.000421223,0.002051679,0.00208531,0.011683303,0.004081427,0.026550788,0.004026622,0.003290862,0.000797872,0.001386324,0.002853446,0.000585506,0.004370577,0.000439554,0.012281077,0.027967392,0.000582549,0.001901262,0.028613793,0.008506727,0.001214341,-0.00023035,0.001821833,0.000542422,0.002192312,0.003849362,0.001976818,0.000765308,0.000768965,0.002202621,0.001869469,0.00017072,0.001015442,0.005898453,0.003353291,0.005287162,0.002459301,0.004593874,0.030168332,0.007564323,0.010461313,0.008854824,0.014844308,0.000530664,0.004837593,0.017049247,0.005064275,0.005133663,0.013215806,0.016351233,0.006549049,0.013806875,0.001690008,0.002492534,0.005190219,0.001849696,0.007888075,0.009482003
,0.009539596,-4.34791E-05,-0.000878538,0.001430098,0.003051149,0.003245751,-0.001017789,0.005233227,0.000366581,-0.000202634,0.006023317,0.002520595,0.003463374,0.002817374,0.000729933,-0.000401487,0.000379773,0.004506919,0.001970598,0.003108664,0.004052914,0.005277708,0.002553297,0.003572016,0.006809411,0.003999631,0.000800475,0.002649341,0.00405206,0.016262769,0.005758819,0.035855679,0.006384976,0.004025808,0.001025917,0.001127171,0.003815078,0.000953642,0.007790018,-0.000459745,0.0162058,0.040047965,0.000388686,0.002458628,0.038581251,0.009507626,0.001315571,-0.000350232,0.002689368,0.000948427,0.0016735,0.005899043,0.002408908,0.001110143,0.000646994,0.003933851,0.001200646,-5.34078E-06,0.001854346,0.007554564,0.004105981,0.006377346,0.003107253,0.005367101,0.040852764,0.009482307,0.015987618,0.010673783,0.01561112,0.000852764,0.00682871,0.020088123,0.003335066,0.005639829,0.016256735,0.020890892,0.008487819,0.018374037,0.00276321,0.003716934,0.007356945,0.003093643,0.011247844,0.011407589
,0.00998719,-0.0001496,-0.0012108,0.00209291,0.00410222,0.00383353,-0.0017933,0.00574686,0.00030124,-0.0006873,0.00702254,0.00277597,0.00487731,0.00302624,0.00088098,-0.000264,0.00026082,0.00606204,0.00233992,0.00357344,0.00462923,0.0066765,0.00299308,0.00384771,0.00907029,0.00491081,0.00119372,0.00282008,0.00565936,0.01966493,0.00731709,0.04299346,0.00828557,0.00463038,0.00130996,0.00061785,0.00459914,0.00117105,0.01088201,-0.0012046,0.01923095,0.04963343,0.00008765,0.0032441,0.04693738,0.01012106,0.00126166,-0.0003845,0.00350454,0.00128362,0.00121361,0.00753772,0.00263016,0.00146161,0.00032963,0.00562035,0.00011311,-0.0002143,0.00262681,0.00857652,0.00443011,0.00710233,0.003369,0.00573538,0.0485337,0.01064273,0.02068182,0.01180556,0.01553789,0.00108328,0.00871417,0.02091953,0.00166075,0.00554203,0.01785159,0.02431334,0.0108231,0.02207106,0.00369792,0.00468914,0.00887835,0.00430809,0.01434611,0.0127474
,0.010278906,-0.000232719,-0.001457862,0.00259276,0.004899875,0.004067028,-0.002399278,0.005889266,0.000252504,-0.001092659,0.007743685,0.002781695,0.006000246,0.002987399,0.000970621,9.49047E-05,0.000128028,0.007369175,0.00269031,0.003625704,0.004859025,0.007722026,0.003439756,0.004185469,0.01088455,0.005488287,0.001508237,0.002763569,0.006655925,0.021702022,0.008490342,0.048175196,0.009750894,0.005011441,0.001528212,8.60431E-05,0.005302348,0.001304109,0.013162317,-0.001710306,0.021919281,0.056507446,-0.000164499,0.00394669,0.05343694,0.010631801,0.001151974,-0.000368265,0.00415922,0.001458498,0.001061542,0.008956828,0.002676421,0.00178003,-2.56761E-05,0.006898259,-0.000764472,-0.000392633,0.003235028,0.009347605,0.004659013,0.007709304,0.003391288,0.005954583,0.053872287,0.011338984,0.024155321,0.012911147,0.01489644,0.001122808,0.010261082,0.020509722,0.000312992,0.005198788,0.018798622,0.026537601,0.012789954,0.024898747,0.004386131,0.005332403,0.010123331,0.005259389,0.016848895,0.013656512
,0.010860641,-0.000290651,-0.001611899,0.002939871,0.00546055,0.004120148,-0.002864432,0.005816794,0.000249694,-0.001384621,0.008194422,0.002630041,0.006808257,0.002932659,0.001064075,0.000547,-1.75757E-05,0.008347357,0.00295717,0.003493588,0.004969358,0.008483646,0.003890529,0.004478347,0.012331521,0.005779433,0.001738495,0.002624157,0.007203272,0.022827299,0.009314752,0.051776455,0.010855421,0.005265575,0.001714826,-0.000295775,0.005804069,0.001389579,0.014777203,-0.002069193,0.02428822,0.061210875,-0.000357477,0.004583849,0.058108492,0.010962287,0.001069094,-0.000349002,0.004639332,0.001527548,0.001102833,0.010115138,0.00268612,0.002074318,-0.000323089,0.007808821,-0.001222429,-0.000517844,0.003649401,0.009922104,0.004816327,0.008184548,0.003396828,0.00610458,0.057683529,0.011765292,0.026546619,0.013979966,0.01405701,0.001028954,0.011529742,0.01979869,-0.000609352,0.004920355,0.019327517,0.027943117,0.014096611,0.026932939,0.004820208,0.005740078,0.011065144,0.005936105,0.018779747,0.014286143
,0.011597471,-0.000339601,-0.001692869,0.003160991,0.005849086,0.00410065,-0.00319854,0.005690481,0.000291417,-0.001580994,0.008401094,0.002451493,0.007358723,0.002949234,0.001173134,0.000939083,-0.000156138,0.009026902,0.003162015,0.00332646,0.004999101,0.009030506,0.004324925,0.004692746,0.013469428,0.005880316,0.001896483,0.002503214,0.007450418,0.023362371,0.009885461,0.054154742,0.011657736,0.005412401,0.001867247,-0.000515908,0.006125173,0.0014458,0.01580143,-0.002324518,0.026232837,0.064376438,-0.000510414,0.005075829,0.061189866,0.011114951,0.001046577,-0.000336604,0.00495384,0.001546863,0.001213707,0.01099227,0.002698877,0.002338813,-0.000484737,0.00842605,-0.001381303,-0.000600838,0.00391465,0.010335539,0.004919939,0.008517401,0.003404306,0.006223886,0.060376088,0.012023762,0.028099304,0.014942746,0.013233166,0.000908047,0.012451508,0.019111601,-0.00119025,0.004763832,0.019669783,0.028737047,0.014810405,0.028339038,0.0050516,0.005985231,0.011699094,0.006379776,0.020229641,0.014736486
,0.012353781,-0.000380757,-0.001731416,0.003293982,0.006125423,0.004073931,-0.003433628,0.005568972,0.000352833,-0.001703491,0.008466424,0.002311686,0.007737487,0.003026018,0.001278567,0.001223755,-0.000275878,0.009504609,0.003314125,0.003196179,0.004996283,0.009444155,0.004694645,0.004866249,0.014345334,0.005867414,0.002007043,0.00239868,0.007568161,0.023625125,0.010271039,0.055682594,0.012221714,0.005506462,0.001976099,-0.000633555,0.006311933,0.001488344,0.016463151,-0.002496579,0.027759362,0.06655111,-0.000636783,0.005450001,0.063116968,0.011156039,0.001054194,-0.000326142,0.00513191,0.00155246,0.001317484,0.011622954,0.002729668,0.002547552,-0.000549838,0.008838448,-0.001374007,-0.000638693,0.004084024,0.010620019,0.004978323,0.008753305,0.003416711,0.00632144,0.062317997,0.012204848,0.029115074,0.015738526,0.012508283,0.000817969,0.013097193,0.018552566,-0.001545665,0.004714154,0.019909697,0.029166867,0.015164385,0.029295369,0.005163604,0.006136512,0.012093467,0.006675334,0.021288379,0.015058484
,0.012967155,-0.000414399,-0.001751687,0.003378529,0.006335422,0.004063747,-0.003597305,0.005484517,0.00040999,-0.001775885,0.008448688,0.002230434,0.007989279,0.003114456,0.001359007,0.001422695,-0.000362963,0.009841119,0.0034166,0.00311475,0.004991347,0.009767484,0.004984404,0.004991104,0.015007138,0.005814654,0.002083079,0.002321354,0.007659454,0.023799121,0.010518353,0.056666106,0.012611775,0.005585062,0.002066969,-0.000693372,0.006402654,0.001514233,0.01694773,-0.002607285,0.028837697,0.068012633,-0.0007465,0.005726874,0.064252959,0.011130748,0.00107193,-0.000312308,0.005223424,0.001562187,0.00136158,0.012031872,0.002780052,0.002697621,-0.000565137,0.009116823,-0.001331034,-0.000650717,0.00419339,0.010771156,0.004989138,0.008910854,0.003436009,0.006383498,0.063711876,0.012333314,0.029791519,0.01627435,0.011959252,0.000776675,0.013522118,0.018140931,-0.001747961,0.004742203,0.020081329,0.02940599,0.01534334,0.029916122,0.005210269,0.006234063,0.012312649,0.006895383,0.022029884,0.015310643
,0.013393027,-0.000439891,-0.001765186,0.003430752,0.00649522,0.004065622,-0.003708872,0.005428896,0.000448562,-0.001819519,0.00839717,0.002200945,0.008172717,0.003188401,0.001405314,0.001550237,-0.000423634,0.010090472,0.003482007,0.003075577,0.004979512,0.010020642,0.005186754,0.005080536,0.015470566,0.00575802,0.002140197,0.002246357,0.007736637,0.023943824,0.010681261,0.057311063,0.01287833,0.005655774,0.002136459,-0.000731279,0.006460378,0.001530973,0.017306029,-0.002670516,0.029582938,0.069063497,-0.000835481,0.005922706,0.064966287,0.011111831,0.001087606,-0.000298704,0.005273302,0.001577797,0.001368172,0.012301632,0.002822677,0.002797202,-0.000562773,0.009297108,-0.001315133,-0.000648969,0.0042646,0.010846383,0.004987851,0.009032143,0.003434111,0.006422381,0.064685915,0.012426687,0.030259827,0.016602835,0.011565619,0.0007745,0.013796083,0.017841786,-0.001871908,0.004777675,0.020201904,0.029546567,0.015476685,0.030329974,0.005233153,0.006310116,0.012442167,0.007058339,0.022540239,0.015507643
